Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"INV",2021/5/13,"AR Oil & Gaz BV","Private Investor","Repsol SA",N/A,"Undisclosed", ,"Pending"
"M&A",2021/5/17,"Korund-Tsiana AO","Invest KC LLC","GEM Capital AG,Industry Partners Corp",N/A,"Cash", ,"Completed"
"M&A",2021/5/27,"Power plants/Russia","Inter RAO UES PJSC","Uniper SE",N/A,"Cash", ,"Withdrawn"
"M&A",2021/5/28,"Sovmestnoye Predpriyatiye Volgodeminoyl OOO","LUKOIL PJSC","BASF SE",N/A,"Undisclosed", ,"Completed"
"M&A",2021/2/15,"PIT Produkt Group","Cherkizovo Group PJSC","Atria Oyj",N/A,"Undisclosed", ,"Completed"
"M&A",2007/2/21,"Metropolis shopping center","Unibail-Rodamco-Westfield","Capital Partners Inc/Greenwich CT",N/A,"Cash", ,"Completed"
"INV",2007/2/22,"Zvezdochka Engineering OOO","Akastor ASA","Bergen Group Kimek Offshore AS",N/A,"Undisclosed", ,"Completed"
"M&A",2007/1/11,"Vanyeganneft Ooo Sp","RN Holding OAO","Occidental Petroleum Corp",N/A,"Undisclosed", ,"Completed"
"M&A",2006/5/31,"Marktkauf Rus OOO,Avtotorgservis OOO","Real-Gipermarket OOO","AVA Allgemeine Handelsgesellschaft der Verbraucher AG",N/A,"Undisclosed", ,"Completed"
"M&A",2006/6/22,"Gazprom Marketing & Trading Retail Ltd","Gazprom PJSC","Pennine Natural Gas Ltd",N/A,"Cash", ,"Completed"
"M&A",2006/10/31,"Rambler Media Ltd","Interros Holding Co","Endicott Holdings Ltd",N/A,"Cash", ,"Completed"
"M&A",2006/8/30,"Sberbank CIB CJSC","Sberbank CIB CJSC","Hansa AG",N/A,"Undisclosed", ,"Completed"
"M&A",2006/4/21,"FM SEVO","American International Group Inc","FM Logistic Corporate SAS",N/A,"Undisclosed", ,"Completed"
"M&A",2006/7/11,"Astelit","Comstar United Telesystems OJSC","Telecom Italia SpA/Milano",N/A,"Undisclosed", ,"Completed"
"M&A",2004/6/4,"TNK & Texaco Lubricants Co","Rosneft Holding Ltd","Chevron Corp",N/A,"Undisclosed", ,"Completed"
