name,country,industry,grade_latest,action_type,filings_searched,filing_dates,writedown_usd_mn,sale_price_usd_mn,all_amounts_mn,filing_urls,edgar_search_url,status
BlackRock,United States,Financials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=BlackRock%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,efts_error:500 Server Error: Internal Server Error for url: https://efts.sec.gov/LATEST/search-index?q=%22BlackRock%22+Russia+impairment&forms=10-K%2C20-F&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31
Boeing,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Boeing%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Booking,United States,Consumer Discretionary,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Booking%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bose,United States,Information Technology,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bose%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Brinks,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Brinks%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bristol-Myers Squibb,United States,Health Care,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bristol-Myers%20Squibb%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Broadridge Financial Solutions,United States,Financials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Broadridge%20Financial%20Solutions%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Brown-Forman,United States,Consumer Staples,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Brown-Forman%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bruker,United States,Industrials,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bruker%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bryan Cave,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bryan%20Cave%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bumble,United States,Communication Services,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bumble%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Bunge,United States,Consumer Staples,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Bunge%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
CBRE,United States,Real Estate,B,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=CBRE%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
CFA Institute,United States,NGO,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=CFA%20Institute%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
CME Group,United States,Financials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=CME%20Group%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Cadence,United States,Information Technology,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cadence%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Callaway Golf,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Callaway%20Golf%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Carnival,United States,Consumer Discretionary,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Carnival%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Charles Schwab,United States,Financials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Charles%20Schwab%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Chemours,United States,Materials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Chemours%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Chevron,United States,Energy,B,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Chevron%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Ciena,United States,Communication Services,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Ciena%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,efts_error:500 Server Error: Internal Server Error for url: https://efts.sec.gov/LATEST/search-index?q=%22Ciena%22+Russia+impairment&forms=10-K%2C20-F&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31
Cisco,United States,Information Technology,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cisco%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Citi,United States,Financials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Citi%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Citrix,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Citrix%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Cleary Gottlieb,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cleary%20Gottlieb%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Clorox,United States,Consumer Staples,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Clorox%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Clutch,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Clutch%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Cogent Communications,United States,Communication Services,B,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cogent%20Communications%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Columbia Sportswear,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Columbia%20Sportswear%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Commvault,United States,Information Technology,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Commvault%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Compass Mining,United States,Financials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Compass%20Mining%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Conde Nast,United States,Communication Services,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Conde%20Nast%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
