name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
Torm,Denmark,Industrials,B,suspended,effectively suspend shipments to Russia,,,,,,,
Tous,Spain,Consumer Discretionary,B,other,close shops and online store in Russia,,,,,,,
Triumph,Switzerland,Consumer Discretionary,B,suspended,suspend Russian business,,,,,,,
Twin Disc,United States,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Twitter,United States,Communication Services,B,suspended,suspend certain operations in Russia,,,,,,,
UL,United States,Industrials,B,suspended,stop all work in Russia &amp; Belarus and not take on or pursue any new customer orders,,,,,,,
UPM,Finland,Materials,B,suspended,temporarily suspend operations and sales in Russia,,,,,,,
UPS,United States,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Ubisoft,France,Information Technology,B,suspended,suspend new sales to Russia,,,,,,,
UiPath,United States,Information Technology,B,suspended,suspend sales in Russia,,,,,,,
Under Armour,United States,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Uniqlo/Fast Retailing,Japan,Consumer Discretionary,B,suspended,suspend operations in Russia,,,,,,,
Universal Music Group,Netherlands,Consumer Discretionary,B,sold,Suspended all operations in Russia and closed offices,,,,,,,
Upwork,United States,Industrials,B,suspended,suspend operations in Russia,,,,,,,
VF Corporation,United States,Consumer Discretionary,B,suspended,temporarily suspend commercial activities,,,,,,,
VMWare,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Valero Energy,United States,Energy,B,suspended,suspend purchases of Russian oil,,,,,,,
Vattenfall,Sweden,Utilities,B,other,shifting energy purchases away from Russia,,,,,,,
Veeam,United States,Information Technology,B,suspended,pause sales in Russia,,,,,,,
Vesuvius,United Kingdom,Industrials,B,suspended,Suspend deliveries to Russian customers,,,,,,,
Victoria’s Secret,United States,Consumer Discretionary,B,suspended,"stop exports to Russia, pause sales in Russia by franchisers, suspend online sales",,,,,,,
Viessmann,Germany,Industrials,B,suspended,stop business with Russia &amp; stop deliveries to and from Russia,,,,,,,
Vietnam Airlines,Vietnam,Industrials,B,suspended,suspend flights to Russia,,,,,,,
Viking River Cruises,Switzerland,Consumer Discretionary,B,other,cease all operations in Russia &amp; cancel trips to Russia up to 2024,,,,,,,
Villeroy &amp; Boch,Germany,Consumer Discretionary,B,suspended,Suspended business in the region until further notice,,,,,,,
Visa,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Vitec Group,United Kingdom,Consumer Discretionary,B,suspended,suspend all exports and services,,,,,,,
Viva,Australia,Energy,B,suspended,Suspended purchases of Russian oil,,,,,,,
Volkswagen,Germany,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
Volvo Cars,Sweden,Industrials,B,suspended,suspend all shipments to Russia,,,,,,,
Volvo Group,Sweden,Industrials,B,suspended,"suspend all sales, service and production",,,,,,,
WEKA,Israel,Information Technology,B,suspended,suspend business and concrete deals with Russia,,,,,,,
WWE,United States,Communication Services,B,suspended,Suspend all operations in Russia,,,,,,,
WarnerMedia,United States,Communication Services,B,suspended,pause new content releases,,,,,,,
Waters Corporation,United States,Health Care,B,suspended,suspend all sales and services into Russia,,,,,,,
WeTransfer,United States,Information Technology,B,suspended,suspend all services in Russia,,,,,,,
Western Union,United States,Information Technology,B,suspended,suspend operations in Russia,,,,,,,
Wielton,Poland,Industrials,B,suspended,suspended Russian exports,,,,,,,
William Grant &amp; Sons,United Kingdom,Consumer Staples,B,suspended,Suspend all shipments to Russia,,,,,,,
Wimbledon,United Kingdom,NGO,B,other,Ban Russian athletes,,,,,,,
Wintershall Dea AG,Germany,Energy,B,sold,intends to fully exit Russia,,,,,,,
Wise PLC,United Kingdom,Information Technology,B,suspended,Suspend Russian partnerships,,,,,,,
Wizz Air,Hungary,Industrials,B,suspended,Air flights to/from Russia are temporarily suspended,,,,,,,
Wolffkran,Switzerland,Industrials,B,suspended,Stop production in Russia; maintain personnel,,,,,,,
World Boxing Council,Mexico,NGO,B,suspended,Suspend Russia from title fights,,,,,,,
World Federation of Exchanges,United Kingdom,NGO,B,suspended,Suspend all Russian members and affiliates,,,,,,,
Woseba,Poland,Consumer Staples,B,other,suspends deliveries to Russia,,,,,,,
Wrangler (Kontoor),United States,Consumer Discretionary,B,suspended,Suspend online sales,,,,,,,
Würth,Germany,Consumer Discretionary,B,suspended,Stop exports to Russia,,,,,,,
Xerox,United States,Information Technology,B,suspended,Suspend shipments to Russia,,,,,,,
YKK Group,Japan,Industrials,B,suspended,Suspend operations in Russia,,,,,,,
YOOX,Italy,Consumer Discretionary,B,suspended,Suspend commercial activities,,,,,,,
Yanmar,Japan,Consumer Discretionary,B,suspended,suspend operations,,,,,,,
Yara,Norway,Materials,B,suspended,Suspend all imports from Russia,,,,,,,
ZHA,United Kingdom,Industrials,B,suspended,suspend operations in Russia,,,,,,,
Zegna Group,Italy,Consumer Discretionary,B,suspended,Suspended all shipments to and production for Russia partners,,,,,,,
Zendesk,United States,Information Technology,B,suspended,Suspend all sales to Russia,,,,,,,
Zetor,Czech Republic,Industrials,B,suspended,suspend all cooperation with Russia,,,,,,,
Zynga,United States,Communication Services,B,suspended,"suspend all installations, monetization and marketing support",,,,,,,
bunq.com,Netherlands,Financials,B,suspended,suspend SWIFT transfers to sanctioned banks,,,,,,,
d&amp;b audiotechnik,Germany,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
eBay,United States,Consumer Discretionary,B,suspended,suspend all shipments to Russia,,,,,,,
eDreams ODIGEO,Spain,Consumer Discretionary,B,other,cease all operations involving Russia,,,,,,,
iHerb,United States,Consumer Discretionary,B,suspended,Suspend all Russian sales,,,,,,,
Żabka,Poland,Consumer Staples,B,other,Halts orders from Russia &amp; Belarus,,,,,,,
