name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
Duisburger Hafen,Germany,Industrials,A,other,End all shipments with Russia and Belarus,,,,,,,
ELA Container,Germany,Industrials,A,sold,Sold Russian subsidary. Exiting market,,,,,,,
ELKO Group,Latvia,Information Technology,A,other,leave Russia,,,,,,,
ENEOS,Japan,Energy,A,other,discontinue purchases of Russian crude,,,,,,,
EPAM,United States,Information Technology,A,other,discontinue servicing Russian customers,,,,,,,
EY,United States,Industrials,A,other,leaving Russia completely,,,,,,,
EarthDaily Analytics,United States,Industrials,A,other,terminate operations in Russia,,,,,,,
Eastnine,Sweden,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Edeka,Germany,Consumer Staples,A,other,remove Russian food from store shelves,,,,,,,
Ejot,Germany,Industrials,A,sold,Withdrew from Russia,,,,,,,
Electronic Arts,United States,Communication Services,A,other,make new game purchases unavailable in Russia,,,,,,,
Elisa Esports,Finland,NGO,A,other,ban Russian teams from participating in tournaments,,,,,,,
Elopak,Norway,Materials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Emerson Electric,United States,Industrials,A,other,exit Russian business,,,,,,,
Endeavour Group,Australia,Consumer Staples,A,suspended,Stop transacting with all Russian products,,,,,,,
Enel,Italy,Utilities,A,sold,divest from the entire Russian stakes,,,,,,,
EnerSys,United States,Industrials,A,other,End Russian operations,,,,,,,
Energizer,United States,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Eni,Italy,Energy,A,sold,suspend stipulation of new oil contracts; divest from investments for rubles,,,,,,,
Equinor,Norway,Energy,A,other,exit joint ventures in Russia,,,,,,,
Espersen,Denmark,Consumer Staples,A,sold,Fully exit Russia after selling its operations,,,,,,,
Essity,,,A,sold,Divested its operations in Russia,,,,,,,
Etsy,United States,Consumer Discretionary,A,other,deactivate all listings from Russian sellers,,,,,,,
Euroins,Bulgaria,Financials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Euronet Worldwide,United States,Financials,A,other,Closed locations in Russia,,,,,,,
Eurovision,United Kingdom,NGO,A,other,ban on all Russian competition,,,,,,,
Eversheds Sutherland,United Kingdom,Industrials,A,other,close Russia office; transfer Russia practice to local partners and counsels,,,,,,,
Evonik,Germany,Materials,A,sold,withdraw from Russia,,,,,,,
Expedia,United States,Consumer Discretionary,A,suspended,Suspend bookings in Russia,,,,,,,
Exxonmobil,United States,Energy,A,other,exit Rosneft partnership,,,,,,,
FICO,United States,Information Technology,A,other,exiting all work in Russia,,,,,,,
FL Smidth,Denmark,Industrials,A,other,No longer any activities in Russia,,,,,,,
FMC Corporation,United States,Materials,A,other,discontinue all business and operations,,,,,,,
Fantasy Premier League,United Kingdom,Consumer Discretionary,A,suspended,Suspend all users from Russia,,,,,,,
Faurecia | Forvia,France,Consumer Discretionary,A,other,Faurecia has decided to disengage from Russia and completed depreciation of related assets,,,,,,,
Fazer,Finland,Consumer Staples,A,sold,exit Russia,,,,,,,
Fennovoima,Finland,Energy,A,other,terminate Russian nuclear power plant project,,,,,,,
Fiskars,Finland,Consumer Discretionary,A,sold,withdraw completely from the Russian market,,,,,,,
Five9,United States,Information Technology,A,other,Fully close all Russian operations,,,,,,,
Flowserve,United States,Industrials,A,sold,exit Russia completely,,,,,,,
Fonterra,New Zealand,Consumer Staples,A,other,exit its businesses in Russia,,,,,,,
Ford,United States,Consumer Discretionary,A,sold,Sold Joint Venture,,,,,,,
Formula One,United Kingdom,Communication Services,A,other,terminate contract with the Russian Grand Prix promoter,,,,,,,
Fortum,Finland,Utilities,A,other,exit Russian market,,,,,,,
Freedom Holding,Kazakhstan,Financials,A,sold,Sold Russian subsidiaries,,,,,,,
Freshfields,United Kingdom,Industrials,A,sold,closing business in Russia,,,,,,,
Fugro,Netherlands,Industrials,A,suspended,suspend all projects in Russia,,,,,,,
Fujifilm,Japan,Information Technology,A,suspended,Suspended some shipments,,,,,,,
G2A,Netherlands,Communication Services,A,other,block marketplace for Russian users,,,,,,,
GC Rieber,Norway,Industrials,A,other,Fully end all Russian business,,,,,,,
GM,United States,Consumer Discretionary,A,suspended,suspend all shipments to Russia,,,,,,,
GXO Logistics,United States,Industrials,A,other,Ended business,,,,,,,
Galp,Portugal,Energy,A,suspended,suspend Russian oil-product purchases; eliminate Russian exposure,,,,,,,
Game Insight,Lithuania,Consumer Discretionary,A,other,Fully liquidate Russian operations,,,,,,,
Gameloft,France,Information Technology,A,other,make company's games unavailable in Russia,,,,,,,
Garmin,United States,Consumer Discretionary,A,suspended,stop all future trade with Russia,,,,,,,
Gaz-System,Poland,Utilities,A,suspended,stopped gas imports,,,,,,,
Geberit,Switzerland,Industrials,A,other,discontinue all operations in Russia,,,,,,,
Georg Fischer,Switzerland,Industrials,A,other,Ended its trading operations in Russia and closed office in Moscow,,,,,,,
Gerry Weber,Germany,Consumer Discretionary,A,sold,Sold Russian Business,,,,,,,
Gett,Israel,Industrials,A,other,Fully terminate all Russian business,,,,,,,
Global Fashion Group,Luxembourg,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Global Foundries,United States,Information Technology,A,suspended,suspend all shipments to Russia,,,,,,,
GoDaddy,United States,Information Technology,A,other,discontinue all Russian services,,,,,,,
Goodvalley,Denmark,Consumer Staples,A,sold,Fully exit Russia after selling its operations,,,,,,,
Gowling,Canada,Industrials,A,suspended,Stopped business in Russia,,,,,,,
Grant Thornton,United States,Industrials,A,sold,closing business in Russia,,,,,,,
Grid Dynamics,United States,Information Technology,A,sold,close offices in Russia &amp; cease all operations,,,,,,,
Grundfos,Denmark,Industrials,A,other,Closes business in Russia and Belarus,,,,,,,
H&amp;M,Sweden,Consumer Discretionary,A,sold,Winding down business entirely,,,,,,,
HP Enterprise (Independent from HP Inc.),United States,Information Technology,A,sold,exit Russia &amp; Belarus,,,,,,,
HP Inc.,United States,Information Technology,A,other,shut down business in Russia,,,,,,,
Halewood,United Kingdom,Consumer Staples,A,other,Fully pull out of Russia,,,,,,,
Halliburton,United States,Energy,A,other,No longer conducts operations in Russia,,,,,,,
Halyk Bank,Kazakhstan,Financials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Hampidjan,Iceland,Industrials,A,sold,full withdrawal,,,,,,,
Haniel,Germany,Materials,A,other,unwind all Russian business,,,,,,,
Hansgrohe,Germany,Consumer Discretionary,A,other,cease all activities with Russia,,,,,,,
Hard Rock Café,United States,Consumer Staples,A,other,fully close all stores in Russia,,,,,,,
Harvia,Finland,Consumer Discretionary,A,sold,Withdrew from Russia,,,,,,,
Hays plc,United Kingdom,Industrials,A,other,close Russian business,,,,,,,
Hearst Communications,United States,Communication Services,A,other,terminate the licensing agreements &amp; turn over its equity to Russian subsidiary,,,,,,,
Heidrick &amp; Struggles,United States,Industrials,A,suspended,ceased all operations in Russia,,,,,,,
Heineken,Netherlands,Consumer Staples,A,sold,Sold all operations in Russia,,,,,,,
Heinzmann,Germany,Industrials,A,other,End all Russian deliveries,,,,,,,
Hempel,Denmark,Industrials,A,sold,exit Russia,,,,,,,
Henkel,Germany,Consumer Staples,A,other,exit business activities in Russia,,,,,,,
Herbert Smith Freehills,Australia,Industrials,A,other,Ended operations in Russia; local partners and counsels open independent firm,,,,,,,
Hertz,United States,Consumer Discretionary,A,sold,completely withdrawn from Russia,,,,,,,
Hesburger,Finland,Consumer Discretionary,A,sold,withdraw from Russia,,,,,,,
Hogan Lovells,United Kingdom,Industrials,A,other,exit Russian operations,,,,,,,
Holcim,Switzerland,Materials,A,other,exit Russian market completely,,,,,,,
Home Credit,Czech Republic,Financials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Honeywell,United States,Industrials,A,sold,Wind down all business,,,,,,,
Hortex,Poland,Consumer Staples,A,sold,Fully exit Russia after selling its operations,,,,,,,
Houthoff,Netherlands,Industrials,A,other,terminate all relationships with Russia,,,,,,,
Huhtamaki,Finland,Materials,A,sold,divest Russian operations,,,,,,,
Hypertherm Associates,Netherlands,Industrials,A,other,Fully close all Russian offices,,,,,,,
Hyve,United Kingdom,Consumer Discretionary,A,sold,Withdrew from Russia,,,,,,,
IBM,United States,Information Technology,A,sold,wind down business in Russia,,,,,,,
ID Logistics,France,Industrials,A,other,Ended all activity in Russia,,,,,,,
IDEXX Labs,United States,Health Care,A,sold,wind down operations &amp; liquidate subsidiary,,,,,,,
IMAX,Canada,Consumer Discretionary,A,sold,Fully exit Russia,,,,,,,
IMCD,Netherlands,Industrials,A,sold,withdraw from Russia completely,,,,,,,
