name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
Refinitiv,United Kingdom,Financials,A,,other,no,end Russian access
Regent Seven Seas Cruises,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
Rehau,Switzerland,Consumer Discretionary,A,,sold,no,Fully exit Russia after selling its operations
Renault,France,Consumer Discretionary,A,A,other,yes,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production
Repsol,Spain,Energy,A,,sold,no,Withdrew from Russia
Resbud,Estonia,Industrials,A,,sold,no,Withdrew from Russia
Rewe,Germany,Consumer Discretionary,A,A,other,yes,remove products from Russia from shelves
Rimi,Latvia,Consumer Discretionary,A,A,other,yes,remove products from Russia from shelves
Rio Tinto,Australia,Materials,A,A,other,yes,Terminated all commercial relationships with Russia
Rocket Lawyer,United States,Information Technology,A,A,suspended,yes,suspend Russian and Belarusian access to the platform
Roku,United States,Communication Services,A,A,other,yes,remove Kremlin-linked propaganda and ads
Roland Berger,Germany,Industrials,A,A,other,yes,end any activity for Russia
Royal London,United Kingdom,Financials,A,,sold,no,fully divest Russian assets
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,A,F,other,yes,Terminated licence contract with MBC
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,A,A,other,yes,close all operations
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,A,,other,no,curtail Russian access to capital markets
SKF,Sweden,Industrials,A,A,other,yes,end sales and production in Russia
SMAY,Poland,Industrials,A,A,other,yes,end cooperation with Russia
SRV,Finland,Industrials,A,D,sold,yes,Sold its last remaining asset in Russia
Salesforce,United States,Industrials,A,A,other,yes,exit business relationships in Russia
Sarantis Group,Greece,Consumer Staples,A,A,sold,yes,Permanent withdrawal from Russian market
Savills,United Kingdom,Real Estate,A,A,other,yes,end partnerships in Russia
Schneider Electric,France,Industrials,A,A,other,yes,sell Russian assets to local management and exit completely
Senior PLC,United Kingdom,Industrials,A,,other,no,cease servicing Russian aircraft
Sidley Austin,United States,Industrials,A,A,other,yes,end all Russian relationships
Siemens,Germany,Industrials,A,A,other,yes,exit Russian market
Slack,United States,Information Technology,A,A,other,yes,exit Russian market completely
Smurfit Kappa,Ireland,Materials,A,A,other,yes,exit Russian market
Societe Generale,France,Financials,A,A,other,yes,cessation of all activities in Russia
Sodexo,France,Industrials,A,A,other,yes,ceded control of its operations in Russia
SoftwareOne,Switzerland,Information Technology,A,,sold,no,Fully exit Russia after selling its operations
Sonos,United States,Consumer Discretionary,A,A,suspended,yes,ceased all sales to this market at the onset of the war and blocked Russian state radio
Spin Master,Canada,Consumer Discretionary,A,,sold,no,fully exit Russia
Squire Patton Boggs,United States,Industrials,A,A,other,yes,leave Russia
Stanley Black &amp; Decker,United States,Industrials,A,,other,no,shut down Russian business
Starbucks,United States,Consumer Discretionary,A,A,other,yes,exit and no longer have a brand presence in Russia
State Street,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
Stora Enso,Finland,Materials,A,A,sold,yes,divest packaging plants
Storebrand,Norway,Financials,A,A,sold,yes,divest all Russian holdings
Strabag,Austria,Industrials,A,A,sold,yes,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska
Strava,United States,Information Technology,A,,other,no,disable access in Russia
Sulzer,Switzerland,Industrials,A,A,other,yes,exit Russian market
Svenska Handelsbanken,Sweden,Financials,A,A,sold,yes,divest from all Russian investments
Sylvamo,United States,Materials,A,A,sold,yes,Sold operations in Russia
Systembolaget,Sweden,Consumer Discretionary,A,A,other,yes,remove all Russian alcohol from stores
Sæplast,Iceland,Materials,A,A,suspended,yes,Stopped all operations in Russia
TDZ Turn,Czech Republic,Industrials,A,F,suspended,yes,fully stopped trade with Russia
TJ Maxx,United States,Consumer Discretionary,A,A,sold,yes,divest Familia subsidiary
TUI,Germany,Consumer Discretionary,A,A,sold,yes,end brand-sharing agreement; had already exited
Tata Steel,India,Materials,A,A,other,yes,Replaced all Russian raw materials for operations; no presence in Russia
Tchibo,Germany,Consumer Staples,A,A,other,yes,sell Russian subsidiary
TeamViewer,Germany,Information Technology,A,A,sold,yes,withdraw from Russia/Belarus
Technip Energies,France,Energy,A,D,other,yes,No new business. Signed exit agreement on Arctic LNG 2
Teknos,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,A,A,sold,yes,complete withdrawal from Russia
Teleperformance,France,Communication Services,A,,sold,no,Withdrew from Russia
Teradata,United States,Information Technology,A,A,suspended,yes,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.
Terex Corporation,United States,Industrials,A,C,sold,yes,fully withdraw from Russia
Tetra Pak,Sweden,Industrials,A,C,other,yes,completely left Russia
Tietoevry,Finland,Information Technology,A,A,other,yes,conclude total exit from Russia
Tom Ford,United States,Consumer Discretionary,A,F,suspended,yes,We have ceased all marketing and advertising
Topsoe,Denmark,Energy,A,,sold,no,Fully wind down all Russian business
Toyota,Japan,Consumer Discretionary,A,C,suspended,yes,stop production at its St. Petersburg plant and stop imports of vehicles
Trane Technologies,Ireland,Industrials,A,A,sold,yes,suspend all business activities indefinitely &amp; exit Russia
TransferGo,United Kingdom,Financials,A,,other,no,End all remittances to Russia
Trimble,United States,Information Technology,A,B,other,yes,Discontinue business operations in Russia
TripAdvisor,United States,Communication Services,A,A,other,yes,remove Kremlin-linked propaganda and ads
Triumph Motorcycles,United Kingdom,Consumer Discretionary,A,A,other,yes,Discontinued commercial activity in Russia
Tunnock's,United Kingdom,Consumer Staples,A,A,other,yes,discontinue supplies to Russia
UEFA,Switzerland,NGO,A,A,other,yes,ban Russian athletes from competing
Uber,United States,Information Technology,A,A,sold,yes,divest from partnership with Yandex
Umbro,United Kingdom,Consumer Discretionary,A,A,sold,yes,withdrawal from the Russian market
Unilever,United Kingdom,Consumer Staples,A,D,sold,yes,completed the sale of its Russian subsidiary to Arnest Group. The completion of the sale ends Unilever presence in Russia.
United Airlines,United States,Industrials,A,A,other,yes,no flying over Russian airspace
United Internet Group,Germany,Information Technology,A,A,suspended,yes,suspend all Russian contracts
Universal,United States,Communication Services,A,A,sold,yes,closing operations in Russia
Uponor,Finland,Industrials,A,,other,no,Completes Exit
VTG,Germany,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Vaillant Group,Germany,Industrials,A,A,other,yes,Terminated business activities in Russia
Valeo,France,Consumer Discretionary,A,F,other,yes,No longer have any industrial activities
Valio,Finland,Consumer Staples,A,A,other,yes,sell business and Viola brand to Velcom
Valmet,Finland,Industrials,A,A,other,yes,exit from Russia
Van Oord,Netherlands,Industrials,A,,sold,no,Full withdrawal from Russia
VanEck,United States,Financials,A,,other,no,liquidate Russian ETFs
Vanguard,United States,Financials,A,A,suspended,yes,suspend operations in Russia
Velux,Denmark,Consumer Discretionary,A,A,sold,yes,permanently close operations in Russia and Belarus
Veon,Netherlands,Communication Services,A,,sold,no,Fully divested from Russia and sale of its Russian business approved
Vestas,Denmark,Energy,A,A,sold,yes,Fully Withdrawn from Russia
Vianor,Finland,Consumer Discretionary,A,A,other,yes,terminate contract with Russian subsidiary
Vinmonopolet,Norway,Consumer Staples,A,A,suspended,yes,"stop sales of all Russian wine, spirits and strong beers in Norway"
Visteon,United States,Consumer Discretionary,A,,suspended,no,Ceased business activity in Russia
Vodafone,United Kingdom,Information Technology,A,A,suspended,yes,suspend partner agreement with MTS
Volaris Group,Canada,Information Technology,A,A,other,yes,discontinue sales and support to Russia
Volfas Engelman,Lithuania,Consumer Staples,A,A,sold,yes,suspend investment and withdraw from Russian market
Vorwerk Group,,,A,,suspended,no,Stopped all product deliveries
WIKA,Germany,Industrials,A,F,suspended,yes,Suspended business in Russia
WPP PLC,United Kingdom,Communication Services,A,A,other,yes,leave Russia
Waitrose,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
Walker's Shortbread,United Kingdom,Consumer Staples,A,A,other,yes,cancel all future orders to Russia
Wallenius Wilhelmsen,Norway,Consumer Discretionary,A,,other,no,End all operations in Russia
Wargaming,Belarus,Consumer Discretionary,A,A,sold,yes,close operations; transfer of some business
Wartsila,Finland,Industrials,A,C,other,yes,Ended Activity
WePlay,United States,Consumer Discretionary,A,A,other,yes,terminate all Russian operations
Wear Medicine,Poland,Consumer Discretionary,A,A,other,yes,terminate cooperation with Russian partners
Weir Group,United Kingdom,Industrials,A,A,sold,yes,wind down Russian business in 2022
Wex Inc.,United States,Information Technology,A,A,other,yes,ending relationship with Lukoil and subsidiaries
White &amp; Case,United States,Industrials,A,,sold,no,wind down Russian operations
