name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
Marubeni,Japan,Industrials,D,C,other,yes,,,no,scaling down but still in numerous projects across Russia
Mavenir,United States,Information Technology,D,D,other,yes,,,no,continue operating in Russia but very limited curtailment of some activities
Medtronic,United States,Health Care,D,D,other,yes,,,no,Limited some activities
Melamin,Slovenia,Materials,D,D,other,yes,,,no,making up for shortfall from sanctions
Menarini Group,Italy,Health Care,D,D,suspended,yes,,,no,stop advertisement and new investments; continue operating plant in Russia
Merck Group,United States,Health Care,D,,other,no,,,no,no further investments/clinical trial enrollment
Merck KGaA,Germany,Health Care,D,,other,no,,,no,still operating and actively hiring in Russia; restrict transactions
Metro,Germany,Consumer Staples,D,D,suspended,yes,,,no,stop all growth investments and reduce advertisements
Mocapor,Portugal,Industrials,D,D,suspended,yes,,,no,paused exports
Mohawk Industries,United States,Consumer Discretionary,D,D,suspended,yes,,,no,suspend new investments in Russia
Mondelez - Nabisco,United States,Consumer Staples,D,D,other,yes,,,no,Scaling back unspecified non-essential activities in Russia
NTPC,India,Utilities,D,D,other,yes,,,no,Difficulty in transacting with Russian counterparties due to SWIFT issues etc
National Oilwell Varco,United States,Energy,D,D,suspended,yes,,,no,suspend all new investments in Russia
Nature's Sunshine,United States,Consumer Staples,D,D,suspended,yes,,,no,suspend shipments into Russia but not sales
Naust Marine,Iceland,Industrials,D,D,suspended,yes,,,no,stopped projects in Russia
Nestle,Switzerland,Consumer Staples,D,D,suspended,yes,,,no,"halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment"
Nippon Steel,Japan,Materials,D,D,other,yes,,,no,searching to replace Russian supplies
Nor-Maali,Finland,Industrials,D,D,suspended,yes,,,no,stop further investments
Novartis,Switzerland,Health Care,D,D,suspended,yes,,,no,"pause all new capital investments, media advertising and other promotions; pause new clinical trials and enrollment of new patients"
Novo Nordisk,Denmark,Health Care,D,D,suspended,yes,,,no,suspend further marketing and clinical investment; pause new clinical trials and active enrollment
OMV,Austria,Energy,D,D,other,yes,,,no,no new Russian investments; doing strategic review of current Russian gas investments
Palfinger,Austria,Industrials,D,D,other,yes,,,no,reduced production
Pfizer,United States,Health Care,D,D,suspended,yes,,,no,stopped new investments/clinical trials in Russia
Philip Morris,United States,Consumer Staples,D,C,suspended,yes,,,no,"explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches"
Philips,Netherlands,Consumer Discretionary,D,F,suspended,yes,,,no,online sales still available in Russia but suspend new marketing
Polpharma,Poland,Health Care,D,D,suspended,yes,,,no,stop all new investments and limit deliveries to essential drugs only
Pottinger,Austria,Industrials,D,D,other,yes,,,no,limited deliveries to Russia sales subsidiary
Procter &amp; Gamble (P&amp;G),United States,Consumer Staples,D,,other,no,,,no,"Still operating, despite statement"
RHI Magnesita,Austria,Industrials,D,D,other,yes,,,no,selling down existing stocks in Russia
Radisson Hotels,,,D,,suspended,no,,,no,Suspended new partnerships and new investments in Russia. Still operate 38 hotel
Reckitt Benckiser Group,United Kingdom,Consumer Staples,D,A,other,yes,2022-12-24,2022-12-24,yes,"Freeze capital investments, advertising, sponsorships and promotions in Russia. Began process of aimed at transferring Russian business"
Red Bull,Austria,Consumer Staples,D,D,suspended,yes,,,no,suspend new investments
Remondis,Germany,Industrials,D,D,other,yes,,,no,still operating in Russia; not disclosed publicly
Ritter Sport,Germany,Consumer Staples,D,D,suspended,yes,,,no,halt new investments and advertising
Roche,Switzerland,Health Care,D,D,suspended,yes,,,no,pause new site activation and patient enrollment; continue operating
Rockwool,Denmark,Industrials,D,D,other,yes,,,no,cancel new investments in Russia
SC Johnson,United States,Consumer Staples,D,D,suspended,yes,,,no,stopped new investments and scaled back unspecified operations
SCHOTT,Germany,Materials,D,D,suspended,yes,,,no,suspend investments in Russia
SGS,Switzerland,Industrials,D,D,suspended,yes,,,no,Suspended business development and investment activities
SLB | Schlumberger,United States,Energy,D,,suspended,no,,,no,stopped new investment and technology deployment to our Russia operations
SWISS KRONO,Switzerland,Industrials,D,F,suspended,yes,,,no,Aborted Russian project and halted investments
Saipem,Italy,Industrials,D,D,suspended,yes,,,no,halt new investments
Sanofi,France,Health Care,D,D,other,yes,,,no,"halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients"
Sarens,Belgium,Industrials,D,D,other,yes,,,no,new projects cancelled
Schmitz Cargobull,Germany,Industrials,D,,suspended,no,,,no,Stopped all investments
Signify,Netherlands,Consumer Discretionary,D,D,suspended,yes,,,no,suspend only exports to Russia and investments and new business
Smith &amp; Nephew PLC,United Kingdom,Health Care,D,,suspended,no,,,no,Stopped new investments
Snap,United States,Communication Services,D,D,suspended,yes,,,no,halt advertisement
Soudal,Belgium,Materials,D,D,other,yes,,,no,cancel investments in a brand new factory in Russia; but maintain other activities
Standard Chartered,United Kingdom,Financials,D,,other,no,,,no,Restricts Russian transactions
Subway,United States,Consumer Staples,D,D,suspended,yes,,,no,suspend new investments/advertising
Sumitomo Mitsui Financial,Japan,Financials,D,D,other,yes,,,no,continue operations with local staff
Syneos Health,United States,Health Care,D,,other,no,,,no,Patient recruitment on hold and no new clinical trial in Russia
TMF Group,Netherlands,Industrials,D,D,suspended,yes,,,no,suspend new contracts; continue supporting current customers
TOM Tailor,Germany,Consumer Discretionary,D,D,suspended,yes,,,no,no official statement; online sales suspended but advertising continues
TZMO,Poland,Consumer Staples,D,D,suspended,yes,,,no,stopped new investments
Takeda,Japan,Health Care,D,,suspended,no,,,no,"Suspended new investments, advertising and promotion &amp; no new clinical trials and stopped enrollment of new Russian patients in ongoing clinical trials."
Toshiba Group,Japan,Information Technology,D,D,suspended,yes,,,no,stop all new investments in Russia
Toshulin,Czech Republic,Industrials,D,D,suspended,yes,,,no,Stopped cooperation
Total Energies,France,Energy,D,C,sold,yes,,,no,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Arctic LNG 2 project
Toyota Tsusho,Japan,Materials,D,D,suspended,yes,,,no,Stopped exports and imports of auto parts to and from Russia
UCB,Belgium,Health Care,D,,suspended,no,,,no,Stopped enrolling new patients and not starting new sites or clinical trials in Russia
UnionPay,China,Financials,D,D,suspended,yes,,,no,Suspended issuing bank cards to Russian Banks
Viatris,United States,Health Care,D,,suspended,no,,,no,Suspended some operations
Vimeo,United States,Communication Services,D,D,other,yes,,,no,not accept new customers from Russia
Vičiūnai,Lithuania,Consumer Staples,D,A,sold,yes,2022-12-24,2022-12-24,yes,Dragging feet on exiting Russia despite announcement
WeWork,United States,Real Estate,D,A,other,yes,2022-12-24,2022-12-24,yes,Continue operating in Russia with 4 locations in Moscow
Weatherford International,United States,Energy,D,D,suspended,yes,,,no,suspend new investments/deployments in Russia
Welltec,Denmark,Energy,D,D,suspended,yes,,,no,suspend all new investments in Russia
Xiaomi,China,Information Technology,D,D,suspended,yes,,,no,Reported to suspend operations in Russia
Yokogawa,Japan,Information Technology,D,D,other,yes,,,no,No new projects in Russia
Yokohama,Japan,Consumer Discretionary,D,D,suspended,yes,,,no,Decision to renew production in Russia despite previous announcements to halt production
Young Living,United States,Consumer Staples,D,D,suspended,yes,,,no,Suspend new investments in Russia
Yves Rocher,France,Consumer Staples,D,D,suspended,yes,,,no,Suspend new investments/development
dōTERRA,United States,Consumer Staples,D,D,suspended,yes,,,no,suspend new investment in Russia
ANT Group,China,Information Technology,F,F,other,yes,,,no,joint venture with the Russian Sovereign Wealth Fund
AUMA Riester GmbH &amp; Co,Germany,Industrials,F,,other,no,,,no,Still operating in and selling to Russia
Agrana,Austria,Consumer Staples,F,F,other,yes,,,no,continue operating plant in Russia
Agricultural Bank of China,China,Financials,F,F,other,yes,,,no,Russian companies open accounts with the bank; decline to comment
Air China,China,Industrials,F,F,other,yes,,,no,still flying to Russia
Air Serbia,Serbia,Industrials,F,F,other,yes,,,no,still flying to Russia
Alibaba,China,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Align Technology,United States,Health Care,F,F,other,yes,,,no,still operating in Russia
Alpina Žiri,Slovenia,Consumer Discretionary,F,F,other,yes,,,no,distributors in Russia
Alumil,Greece,Materials,F,F,other,yes,,,no,Not disclosed publicly
Anadolu Efes,Turkey,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
Anta Sports,China,Consumer Discretionary,F,F,other,yes,,,no,still operating and providing online sales to Russia
Antal,United Kingdom,Industrials,F,F,other,yes,,,no,still operating and actively hiring in Russia
AnyDesk Software,Germany,Information Technology,F,F,other,yes,,,no,still providing services to Russia; not disclosed publicly
Ariston Group,Italy,Consumer Discretionary,F,F,other,yes,,,no,still operating and actively hiring in Russia
Auchan-Retail,France,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
B. Braun,Germany,Health Care,F,F,other,yes,,,no,still operating in Russia
BPW,Germany,Consumer Discretionary,F,F,other,yes,,,no,still cooperating with dealers in Russia; not disclosed publicly
Babolat,France,Consumer Discretionary,F,F,other,yes,,,no,still operating and selling to Russia
Bajaj Auto,India,Consumer Discretionary,F,F,other,yes,,,no,business as usual
Benetton,Italy,Consumer Discretionary,F,F,other,yes,,,no,continue operations in Russia
Bharat Petroleum (BPCL),India,Energy,F,F,other,yes,,,no,bought 2 million barrels of Russian Urals for May loading
Binbit,Mexico,Communication Services,F,F,other,yes,,,no,Operating in Russia
Boggi,Italy,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia &amp; online sales running
Buzzi Unicem,Italy,Materials,F,F,other,yes,,,no,continue operating plants in Russia
CLAAS,Germany,Industrials,F,F,other,yes,,,no,still operating in Russia; not disclosed publicly
CLINTON,Germany,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia (Camp David)
Calzedonia,Italy,Consumer Discretionary,F,F,other,yes,,,no,continue sales in Russia
Camille Albane,France,Consumer Discretionary,F,F,other,yes,,,no,franchised salons continue to operate
Carl's Jr. | CLK,United States,Consumer Discretionary,F,F,other,yes,,,no,still operating in Russia
Cham Wings,Syria,Industrials,F,F,other,yes,,,no,still flying to Russia
ChampionX,United States,Energy,F,,other,no,,,no,Business as usual
Charoen Pokphand Foods,Thailand,Consumer Staples,F,F,other,yes,,,no,still operating in Russia
Check Point Software,Israel,Information Technology,F,F,other,yes,,,no,selling cybersecurity products in Russia
China Communications Construction Company,China,Industrials,F,F,other,yes,,,no,planning new infrastructural projects
China Construction Bank,China,Financials,F,F,other,yes,,,no,Russian companies open accounts with the bank; decline to comment
China Life Insurance Company,China,Financials,F,F,other,yes,,,no,"offices in Russia, actively looks for new Russian employees"
