subsidiary_name,inactive,nace_code,nace_sector,guo_name,guo_country,guo_direct_pct,guo_total_pct,incorp_year,years_in_russia,total_assets_th_usd,total_assets_year,pre_inv_assets_th_usd,pre_inv_equity_th_usd,shareholders_funds_th_usd,revenue_th_usd,employees,costs_employees_th_usd,emp_intensity,ln_assets
DAT GORNAYA TEKHNIKA,No,3314,33,DAT BERGBAUTECHNIK GMBH,DE,100.0,100.0,2008,14,1389.67953382619,2023,1323.84650288522,995.361570637673,1305.74439742602,2132.09518105537,7.0,,0.005287622080614367,7.188296795399322
DZHINIUS CONSULTING SERVISES,No,7022,70,MR DEIK UOLTER VAN,NL,100.0,100.0,2018,4,101.495954656042,2023,73.8835352035239,62.5903513748199,63.0071009295061,1318.75612752419,16.0,,0.21655704421730043,4.302490004802422
ATS RUS,No,5229,52,STERNA,FR,,,2014,8,974.653287515976,2023,890.694350790232,700.298539995216,822.593326008879,1696.39734296966,37.0,,0.04154062498226611,6.792001327979439
INGREDIENTY IT,No,4638,46,AGOSFERA HOLDING S.R.L.,IT,80.0,,2018,4,444.082431945018,2023,317.110986675136,190.045843238942,282.344508376904,1194.99417029228,57.0,,0.179747793028671,5.759251828295518
SISTEMY SVYAZI,No,6110,61,SMARTVOICE LTD,GB,100.0,100.0,2014,8,358.463686937466,2023,287.269522374496,135.397063328885,175.318289685994,2356.7398580201,18.0,,0.06265892688934291,5.660420877429044
ARGUMENTUM,No,4646,46,ARGUMENTUM HOLDING AG,CH,100.0,100.0,2017,5,2718.80490641575,2023,1820.50430611707,-361.260739902966,-832.115191907622,1380.78205257654,10.0,,0.005492983436731809,7.50686883296126
IMA DEIRI END FUD RASHA,No,4669,46,I.M.A. INDUSTRIA MACCHINE AUTOMATICHE S.P.A. IN SIGLA IMA S.P.A.,IT,,,2020,2,1685.69360612798,2023,838.966453944333,210.020914516412,561.845836655237,1377.37023645826,40.0,,0.04767771084522299,6.732170722288032
"MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC",No,6201,62,MICROSOFT CORPORATION,US,,,2004,18,36239.7310226783,2023,62826.6333163325,33829.2907609437,17821.6326435879,2359.28199552,2.0,,3.183363319708677e-05,11.048134359946237
ASKH RUS,No,4690,46,AEBI SCHMIDT HOLDING AG,CH,100.0,100.0,2013,9,3099.34505058918,2023,6014.74432305153,1434.32856827974,1017.46823488269,2985.77394280862,1.0,,0.00016625810612888337,8.701969120947
LIMITED LIABILITY COMPANY INSTROY,No,6820,68,COMPANY FAVORIT LTD LLC,US,99.98,,2007,15,10008.9082244914,2023,12404.0885340087,2149.21806330513,2226.51105977967,2005.11095304508,10.0,,0.0008061857969316059,9.425781417731848
ILTRINA,No,6201,62,MR ARIEL ISRAILOV,AT,80.0,,2019,3,3333.74573769607,2023,416.999803353101,344.664201570675,440.815562263131,1374.60510444082,15.0,,0.035971239984730924,6.0330857502233926
IFKO SISTEMZ RUS,No,7739,77,IFCO MANAGEMENT GMBH,DE,,100.0,2017,5,2218.11531619448,2023,2922.87518716976,1252.93769190833,899.515284832567,1785.29410738498,3.0,,0.0010263866254600219,7.980323063949739
ABICOR BINZEL SCHWEISSTECHNIK GMBH,No,4690,46,IBG INDUSTRIE-BETEILIGUNGS GESELLSCHAFT MBH & CO. KOMMANDITGESELLSCHAFT,DE,,100.0,2007,15,4833.67376099154,2023,4989.58166898508,3583.43894925993,3848.216389101,8062.52287763916,6.0,,0.001202505620319959,8.515107351360584
ATOMICS LIMITED LIABILITY COMPANY,No,3250,32,LUMEX INSTRUMENTS LIMITED,CY,0.0,100.0,2006,16,2314.683092013,2023,2104.26069264021,1872.78407487832,2203.73216981348,1469.85721260589,20.0,,0.009504525779505987,7.651719469528322
