name,country,industry,grade,action_type,exiter,clean_exit,exit_mode,event_date,event_month,timing_left_censored,nace_sector,b2c,sanctions_coalition,wgi_rule_of_law,legal_origin,pat_pctile,lab_pctile,pat_pctile_sector,lab_pctile_sector,alpha,alpha_sq,alpha_emp_pctile,alpha_pat_pctile,emp_intensity_raw,patent_count,patent_intensity_raw,y_exit_payoff,deal_value_mn_usd,deal_status,has_deal,pre_inv_equity_th_usd,sum_assets_th_usd,ln_assets,years_in_russia,employees_total,n_subsidiaries,sanctions_exposure,sanction_hit_dates,guo_matched,y_sub_inactive,sub_inactivation_rate,y_grade_a_sold,y_suspended
Blockchain.com,Luxembourg,Information Technology,A,suspended,1,1,walked,2023-08-23,18,no,68,0,1,1.8,french,0.016722,0.113636,0.030303,0.125000,0.555556,0.308642,0.124294,0.015537,0.000199,0,0.000000,,,,0,6638.56,67686.96,11.1226,22,18,2,0,,ANACOM,0,0.0000,0,1
Bolt,Estonia,Information Technology,A,other,1,1,walked,2023-08-23,18,no,68,0,1,1.3,socialist,0.808250,0.246364,0.659091,0.226562,0.195618,0.038266,0.255650,0.796610,0.001344,5472,0.739875,,,,0,2826.82,7395.84,8.9087,4,6,2,0,,THUNDERBOLT PRIVATSTIFTUNG,0,0.0000,0,0
Bonava,Sweden,Real Estate,A,sold,1,1,sold,2022-12-24,10,yes,46,0,1,1.8,scandinavian,0.017837,0.485455,0.000000,0.142857,0.746479,0.557231,0.470339,0.016949,0.005815,0,0.000000,,,,0,-82.23,2751.30,7.9198,13,16,1,0,,BO HOLDING AG,0,0.0000,1,0
Booking,United States,Consumer Discretionary,A,suspended,1,1,walked,2023-08-23,18,no,73,0,1,1.4,english,0.421405,0.165455,0.389189,0.158140,0.332551,0.110590,0.173729,0.467514,0.000564,31,0.005193,,,,0,5019.40,5970.04,8.6945,13,3,2,0,,BOOKING HOLDINGS INC.,0,0.0000,0,1
Boreo,Finland,Industrials,A,sold,1,1,sold,2023-08-23,18,no,46,0,1,2.0,scandinavian,0.253066,0.486364,0.227273,0.512111,0.571205,0.326275,0.471751,0.334746,0.005815,1,0.000363,,,,0,-82.23,2751.30,7.9198,13,16,1,0,,BO HOLDING AG,0,0.0000,1,0
Bose,United States,Information Technology,A,suspended,1,1,walked,2022-12-24,10,yes,46,0,1,1.4,english,0.850613,0.487273,0.734848,0.445312,0.266823,0.071195,0.473164,0.885593,0.005815,11032,4.009741,,,Withdrawn,1,-82.23,2751.30,7.9198,13,16,1,0,,BO HOLDING AG,0,0.0000,0,1
Boskalis,Netherlands,Industrials,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.8,french,0.571906,0.438182,0.578512,0.470588,0.373239,0.139308,0.425141,0.645480,0.004463,312,0.087038,,,,0,730.38,3584.65,8.1844,15,16,1,0,,ALI GROUP LLC,0,0.0000,0,0
Breitling SA,Switzerland,Consumer Discretionary,A,sold,1,1,sold,2023-08-23,18,no,23,0,1,1.8,german,0.405797,0.552727,0.372973,0.530233,0.589984,0.348082,0.531073,0.360169,0.006695,24,0.000693,,,,0,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,1,0
Bristol-Myers Squibb,United States,Health Care,A,sold,1,1,sold,2023-08-23,18,no,46,0,1,1.4,english,0.936455,0.316364,1.000000,0.409836,0.155712,0.024246,0.320621,0.933616,0.001961,49913,16.312557,,,,0,-704.70,3059.79,8.0261,8,6,1,0,,MEYER INTERNATIONAL HOLDINGS LIMITED,0,0.0000,1,0
British American Tobacco,United Kingdom,Consumer Staples,A,other,1,1,walked,2022-12-24,10,yes,55,1,1,1.5,english,0.870680,0.320000,0.964286,0.275862,0.245696,0.060367,0.324859,0.775424,0.002042,14358,0.519444,,,Pending,1,13748.57,27641.08,10.2271,21,292,6,0,,ACCOR,0,0.0000,0,0
British Petroleum (BP),United Kingdom,Energy,A,sold,1,1,sold,2023-08-23,18,no,17,0,1,1.5,english,0.018952,0.330000,0.000000,0.340909,0.670579,0.449676,0.334746,0.018362,0.002184,0,0.000000,,,,0,65806.94,79194.80,11.2797,22,173,1,0,,RETIS HOLDING GMBH,0,0.0000,1,0
British Standards Institution (BSI),United Kingdom,Industrials,A,other,1,1,walked,2022-12-24,10,yes,17,0,1,1.5,english,0.020067,0.330909,0.024793,0.346021,0.670579,0.449676,0.336158,0.019774,0.002184,0,0.000000,,,,0,65806.94,79194.80,11.2797,22,173,1,0,,RETIS HOLDING GMBH,0,0.0000,0,0
Broadridge Financial Solutions,United States,Financials,A,sold,1,1,sold,2023-08-23,18,no,62,0,1,1.4,english,0.509476,0.841818,0.738462,0.878378,0.646322,0.417733,0.827684,0.555085,0.012480,109,0.027762,,,,0,1069.77,3926.22,8.2754,10,49,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0,0.0000,1,0
Bruker,United States,Industrials,A,suspended,1,1,walked,2023-09-22,19,no,68,0,1,1.4,english,0.857302,0.003636,0.855372,0.003460,0.107199,0.011492,0.002825,0.703390,0.000021,11863,0.211073,,,,0,15611.92,56203.27,10.9367,18,197,3,0,,INTERBUNKER GROUP LTD,1,0.3333,0,1
Brunel,Netherlands,Industrials,A,sold,1,1,sold,2023-08-23,18,no,70,0,1,1.8,french,0.694537,0.974545,0.698347,0.986159,0.489045,0.239165,0.964689,0.975989,0.099856,1594,159.240759,,,,0,7.08,10.01,2.3040,3,1,1,0,,MR MAKSIM BRUNELEN,0,0.0000,1,0
Bryan Cave,United States,Industrials,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.4,english,0.289855,,0.264463,,,,,,,3,,,,,0,,,,14,,2,0,,ANCS HOLDING LIMITED,1,1.0000,0,0
Bumble,United States,Communication Services,A,other,1,1,walked,2022-12-24,10,yes,62,0,1,1.4,english,0.510591,0.862727,0.612245,0.844444,0.666667,0.444444,0.853107,0.543785,0.015701,115,0.025432,,,,0,3725.57,4521.93,8.4167,14,71,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,BUMBLE INC.,0,0.0000,0,0
Bunge,United States,Consumer Staples,A,sold,1,1,sold,2022-09-19,7,no,23,0,1,1.4,english,0.711260,0.553636,0.880952,0.568966,0.456182,0.208102,0.532486,0.603107,0.006695,1940,0.056026,,,Completed,1,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,1,0
CD Projekt,Poland,Communication Services,A,other,1,1,walked,2023-08-23,18,no,70,0,1,0.5,socialist,0.021182,,0.000000,,,,,,,0,0.000000,,,,0,396.86,397.63,5.9855,4,,1,0,,DEUTSCHE PROJEKT-UNION GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,0,0.0000,0,0
CFA Institute,United States,NGO,A,other,1,1,walked,2023-08-23,18,no,64,0,1,1.4,english,0.022297,0.172727,0.000000,0.300000,0.583725,0.340734,0.180791,0.021186,0.000614,0,0.000000,,,,0,5.01,3067.76,8.0287,15,2,2,8,2022-02-23;2022-02-25;2022-02-28;2022-03-15;2022-04-08;2022-06-03;2022-07-21;2022-10-06,STIFT HOLDING LTD,0,0.0000,0,0
CMA CGM,France,Industrials,A,other,1,1,walked,2023-08-23,18,no,23,0,1,1.4,french,0.290970,0.554545,0.268595,0.584775,0.634585,0.402698,0.533898,0.282486,0.006695,3,0.000087,,,,0,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,0,0
