firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
Illinois Tool Works,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,ILLINOIS TOOL WORKS INC.,,other,,2022-12-24,no,suspension of sales to Russia
Indeed,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend service in Russia
Institute of Internal Auditors,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend business in Russia
Intel,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,INTEL CORP,,suspended,,2022-12-24,no,suspend sales to Russia
Interactive Advertising Bureau,United States,Industrials,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,suspended,,2022-12-24,no,suspend licensing in Russia and Belarus
Intercomm Foods,Greece,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,Stopping shipments to Russia
International Canoe Federation,Switzerland,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian athletes & relocate Russian events
International Federation of Sport Climbing,Italy,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian teams from participation; suspend Russian events
International Tennis Federation,United Kingdom,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian partnerships
Intertek,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations
Intuit,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend customer accounts
Isuzu,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2023-08-23,no,Suspend business in Russia
JCB,United Kingdom,Industrials,unclassified,yes,strict normalized name match to Orbis parent,"JCB CO.,LTD.",,suspended,,2022-12-24,no,pause business in Russia
Jablotron,Czech Republic,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,halts sales and blocks data services to products assembled in  Russia
Japan Credit Bureau (JCB),Japan,Financials,unclassified,yes,,,,suspended,,2023-08-23,no,suspend operations in Russia
Johnson Controls,Ireland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Julipedra,Portugal,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspended exports to Russia
Jungheinrich,Germany,Industrials,unclassified,yes,strict normalized name match to Orbis parent,JUNGHEINRICH AG,,suspended,,2022-12-24,no,keep Russia office; stop exports to Russia
Juniper Networks,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales in Russia
KBC Group,Belgium,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend transactions with certain Russian banks
KGHM,Poland,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,"suspended Russian contracts, subsidiary ZANAM Vostok in Russia"
KLM,Netherlands,Industrials,unclassified,yes,,,,other,,2022-12-24,no,cancel flights to and from Russia
KONE,Finland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend deliveries to Russia & stop new Russian orders
KUKA,Germany,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all business with Russia
Kepenou Mills,Greece,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,stop wheat orders from Russia
Kering,France,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,KERING,,other,,2022-12-24,no,close all stores in Russia
Kerry Group,Ireland,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,suspending operations
Kingston,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Kodak Alaris,United Kingdom,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all business activity into Russia & Belarus
Komatsu,Japan,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Konecranes,Finland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,stop all orders from Russia
Konica Minolta,Japan,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,KONICA MINOLTA INC,,suspended,,2022-12-24,no,new shipments suspended
Korean Air Lines,South Korea,Industrials,unclassified,yes,,,,other,,2022-12-24,no,no flying over Russian airspace; Russian flights cancelled
Korn Ferry,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,KORN FERRY,,suspended,,2022-12-24,no,suspend business in Russia
Krombacher,Germany,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,stopped exports to Russia
Kronospan,Austria,Materials,unclassified,yes,,,,other,,2023-08-23,no,Separated out all business activities in Russia
Kubota,Japan,Industrials,unclassified,yes,strict normalized name match to Orbis parent,KUBOTA CORPORATION,,other,,2022-12-24,no,cancel production of equipment orders from Russian
Kurokesu,Lithuania,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Kyocera,Japan,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,KYOCERA CORPORATION,,suspended,,2022-12-24,no,suspend deliveries of all devices to Russia
Kärcher,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend exports to Russia & halt investments
Körber,Germany,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend new business with Russia
L'Oreal,France,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
LCBO,Canada,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian-produced products
LG Electronics,South Korea,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend new product shipments to Russia
LUSH,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend online sales & supply to Russia
La Lorraine,Belgium,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,halt its 50mn euro investment in Moscow
Lanxess,Germany,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend business activities with Russia
Lego,Denmark,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Leonardo,Italy,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,pause all JVs in Russia; helicopter production
Les Ballets de Monte-Carlo,Monaco,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend performance rights for his ballet
Levi Strauss,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales in Russia
Lexmark,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Little Caesar's,United States,Consumer Discretionary,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,suspended,,2022-12-24,no,suspend Russian franchise support
Live Nation Entertainment,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,stop business with Russia
Lladró,Spain,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspended service and shipment to Russia.  No new requests
Louis Dreyfus,Netherlands,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Lumen,United States,Communication Services,unclassified,yes,,,,other,,2022-12-24,no,cut networks to Russia
M&amp;G,United Kingdom,Financials,unclassified,yes,,,,other,,2023-08-23,no,phased divestment of Russian assets
MS &amp; AD Insurance Group,Japan,Financials,unclassified,yes,,,,other,,2023-08-23,no,suspending operations
MSC,United States,Financials,unclassified,yes,,,,other,,2022-12-24,no,temporary suspension of all shipments to Russia
MSC Cruises,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend calls to Russia
MV Group,Lithuania,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,"suspends all imports and orders, froze partner brands"
MVRDV,Netherlands,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Magna,Canada,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian plants
Magna Steyr,Austria,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend deliveries to Russia
Mango,Spain,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend direct operations in Russia
Manolo Blahnik,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia
Marks &amp; Spencer,United Kingdom,Consumer Staples,unclassified,yes,,,,suspended,,2023-08-23,no,suspend all shipments to Russia
Marriott,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all Russian operations
Marvell,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales to Russia in compliance with sanctions
Mastercard,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Match Group,United States,Communication Services,unclassified,yes,,,,other,,2023-08-23,no,"Stated will leave Russia by June 30, 2023"
Mattel,United States,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,"MATTEL, INC.",,suspended,,2022-12-24,no,suspend shipments into Russia
Mazda,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
McCormick,United States,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Meggit,United Kingdom,Industrials,unclassified,yes,,,,other,,2022-12-24,no,cease all imports and exports with Russia
Meta,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian advertising
Metsa,Finland,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations at Russian mill
Metso Outotec,Finland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Mettler Toledo,United States,Health Care,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Michelin,France,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspended all operations in Russia
Micro Focus,United Kingdom,Information Technology,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
Micron,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,Suspend shipments to Russia according to sanctions
Microsoft,United States,Information Technology,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,MICROSOFT CORPORATION,100,suspended,,2023-08-23,no,suspend new sales in Russia but continue existing access
Milk Hydrosan sp. z o.o.,Poland,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspended Russian contracts
Mitsubishi Electric,Japan,Industrials,unclassified,yes,strict normalized name match to Orbis parent,MITSUBISHI ELECTRIC CORPORATION,,suspended,,2022-12-24,no,stop all sales to Russia but reserve the right to return
Mitsubishi Motors,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspended operations at Russian plant
Mobatime (Elekon),Czech Republic,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,stopped activity and remotely stopped clock on Russian Academy of Sciences
Moncler,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Moneygram,United States,Financials,unclassified,yes,,,,suspended,,2023-08-23,no,suspend all payments to Russia
MongoDB,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia and Belarus
Mothercare,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Motorola Solutions,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend service orders to Russia
Munich Re,Germany,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,not renew current contracts & suspend new business
NCR,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia
NEC,Japan,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,NEC CORPORATION,,suspended,,2022-12-24,no,suspend all future sales
NHL,United States,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,pause all partnerships in Russia
NSG Group (Pilkington),Japan,Materials,unclassified,yes,,,,other,,2022-12-24,no,suspension all trading and investment
NXP Semiconductors,Netherlands,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to and business with Russia
Namecheap,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,stop offering products to Russia
Nemak,Mexico,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,halt production in Russia
Neste Oyj,Finland,Energy,unclassified,yes,,,,suspended,,2022-12-24,no,suspend purchases of Russian oil
NetApp,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,"NETAPP, INC.",,suspended,,2022-12-24,no,suspend business operations in Russia
New Balance,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
New Development Bank,China,Financials,unclassified,yes,,,,other,,2022-12-24,no,curtail Russian access to capital markets
Niantic Labs,United States,Information Technology,unclassified,yes,,,,other,,2022-12-24,no,products made unavailable in Russia
Nikon,Japan,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,NIKON CORPORATION,,suspended,,2022-12-24,no,suspend shipments to Russia
Nintendo,Japan,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,NINTENDO CO LTD,,suspended,,2022-12-24,no,suspend all sales in Russia
Nippon Telegraph and Telephone Corporation (NTT),Japan,Communication Services,unclassified,yes,,,,sold,,2023-08-23,no,"Completed sale of business, transitioning team"
Norton,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia
Nozbe,Poland,Industrials,unclassified,yes,,,,other,,2022-12-24,no,cut off services for Russia and Belarus
Nu Skin,United States,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian operations
Nutanix,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,pause all sales and support to Russia
Nvidia,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales in Russia
ON24,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all Russian activities
OP Bank Lithuania,Lithuania,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,temporarily stop the processing of all  payments from and to Russia & Belarus
Olvi,Finland,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,stop exports to Russia
Olympus,Japan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales of Scientific Solutions portfolio and all capital investments
OpenText,Canada,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all business
Oracle,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all operations in Russia
Orion,Finland,Health Care,unclassified,yes,strict normalized name match to Orbis parent,ORION OYJ,,other,,2023-10-12,no,Discontinued business operations in Russia
Outokumpu,Finland,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,stop sales and deliveries to Russia
PTC,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,PTC INC.,,other,,2022-12-24,no,discontinue all business operations and sales
PVH,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
PagerDuty,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend cooperation with Russian customers
Panasonic,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Papa John's,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend support for all Russian franchises
Par Pacific,United States,Energy,unclassified,yes,,,,suspended,,2022-12-24,no,suspend purchases of Russian crude oil
Paramount,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,pause new content releases to Russia
Payoneer,United States,Information Technology,unclassified,yes,,,,other,,2022-12-24,no,close Russian accounts
Paypal,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Peak Design,United States,Consumer Staples,unclassified,yes,,,,other,,2022-12-24,no,shut down sales to Russia
Pekao SA,Poland,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,transactions in Russian ruble suspended
Pernod Ricard,France,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,"Resumed exports to Russia, then halted after calls to boycott"
Pivovary Staropramen,Czech Republic,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspended beer exports
Playmobil,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,stop all sales to Russia
Plzeňský Prazdroj,Czech Republic,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales to Russia
Podravka,Croatia,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,stop deliveries to Russia
Polaris,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend exports to Russia
Porsche,Germany,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,end shipments of new cars; dealerships running and warranty obligations honored
Prada,Italy,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Preem AB,Sweden,Energy,unclassified,yes,,,,suspended,,2022-12-24,no,suspend purchases of Russian oil
Prosus,Netherlands,Industrials,unclassified,yes,,,,sold,,2022-12-24,no,In process of divesting from local subsidiary
Puma,Germany,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,PUMA SE,,suspended,,2022-12-24,no,suspend all shipments to Russia
QS,United Kingdom,NGO,unclassified,yes,,,,other,,2022-12-24,no,cease activity with Russian customers & cease promotion of Russian universities
Qlik,Sweden,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales and services to Russia
Qualcomm,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
RTB,United States,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
Rabobank,Netherlands,Financials,unclassified,yes,,,,other,,2022-12-24,no,curtail Russian access to capital markets
Radio Free Europe,Czech Republic,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Rakovnický Pivovar,Czech Republic,Consumer Staples,unclassified,yes,,,,sold,,2022-12-24,no,stopped exports and withdrew some products for sale in Russia
Ralph Lauren,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,pause operations in Russia
Ravensburger | BRIO,Germany,,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,other,,2023-12-15,no,Russia distribution through Alisa Toys
Raytheon,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Recruit Holdings,Japan,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,Suspend Russian access
Reima,Finland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales into Russia
Remitly Global,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,stop accepting new users in Russia
Renishaw,United Kingdom,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
Revolut,United Kingdom,Financials,unclassified,yes,,,,suspended,,2022-12-24,no,stop top-ups for Russian cards and block transfers to Russian institutions
Richemont,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all operations in Russia
Ricoh,Japan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipments to Russia
Roca,Spain,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,closure of plants
Rockwell Automation,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Roland DG,Japan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all exports and sales to Russia
Rolex,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend exports to Russia
Rolls Royce,United Kingdom,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Rotork,United Kingdom,Industrials,unclassified,yes,strict normalized name match to Orbis parent,ROTORK PLC,,suspended,,2023-08-23,no,Suspended business in Russia
Rovio,Finland,Information Technology,unclassified,yes,,,,other,,2022-12-24,no,remove games from app stores in Russia
Royal Caribbean Cruises,United States,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,Cancel summer cruise ship visits to Russia
Royal Society of Chemistry,United Kingdom,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,pause activities with Russian institutions
SSAB,Sweden,Materials,unclassified,yes,strict normalized name match to Orbis parent,SSAB AB,,other,,2022-12-24,no,shipments and sales to Russia discontinued
STIHL,Germany,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend deliveries to Russia
Safran,France,Industrials,unclassified,yes,strict normalized name match to Orbis parent,SAFRAN,,suspended,,2022-12-24,no,stop all activities in Russia
Samsonite International,Luxembourg,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Samsung,South Korea,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Sandvik,Sweden,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all operations in Russia
Sardina,Croatia,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend deliveries to Russia
Scandinavian Tobacco,Denmark,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend most operations in Russia
Scania,Sweden,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales in Russia
Schwarz Group,Germany,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,stop sales of Russian products in stores
Sennheiser,Germany,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all business & stop exports
Sharp Group,Japan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend shipping into Russia
Sherwin Williams,United States,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,suspend business
Shiseido,Japan,Consumer Staples,unclassified,yes,,,,suspended,,2022-12-24,no,suspend export shipments to Russia
Siemens Energy AG,Germany,Industrials,unclassified,yes,strict normalized name match to Orbis parent,SIEMENS ENERGY AG,,sold,,2022-12-24,no,Sold factory and stake in russian Companies
Sigma Group,Czech Republic,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,suspend business
Simba Dickie Group,Germany,Consumer Discretionary,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,suspended,,2022-12-24,no,suspend all business in Russia including with local independent distributor
Skytrax,United Kingdom,NGO,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all audit and rating analysis
Smartway Pharmaceuticals,United Kingdom,Health Care,unclassified,yes,,,,suspended,,2022-12-24,no,"suspended all operations, most supplies, and all advertising"
Sodeca,Spain,Industrials,unclassified,yes,,,,other,,2022-12-24,no,cut off all supplies to Russian partners
Solvay,Belgium,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
SonoSim,United States,Health Care,contractual,yes,"Yale text explicitly mentions a distribution, license, or franchise arrangement",,,suspended,,2022-12-24,no,suspend distributor relationship in Russia
Sony,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,"pause release of new films in Russia, suspending console and game sales in Russia"
Sportradar,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,"suspend all new investments in Russia, including signing new customers"
Spotify,Sweden,Communication Services,unclassified,yes,,,,suspended,,2023-08-23,no,closed office and suspend service
SriLankan Airlines,Sri Lanka,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend flights between Sri Lanka and Russia
Stellantis,Netherlands,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Storytel,Sweden,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,STORYTEL AB,,suspended,,2022-12-24,no,pause operations in Russia
Subaru,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Sumitomo Group,Japan,Financials,unclassified,yes,,,,other,,2022-12-24,no,scaling back or suspending all Russian-related business
Supercell,Finland,Information Technology,unclassified,yes,,,,other,,2022-12-24,no,remove games from app stores in Russia
Swagelok,United States,Industrials,unclassified,yes,,,,suspended,,2023-08-23,no,Suspended business in Russia
Swarovski,Liechtenstein,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all sales in Russia
Swatch,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend direct operations in Russia
Sweco,Sweden,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,stop all projects in Russia
Synopsys,United States,Information Technology,unclassified,yes,strict normalized name match to Orbis parent,"SYNOPSYS, INC.",,suspended,,2022-12-24,no,suspend all operations in Russia
Systemair,Sweden,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,SYSTEMAIR AB,100,suspended,,2022-12-24,no,suspend all sales to Russia
T Machinery,Czech Republic,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,Stopped cooperation
TSMC,Taiwan,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
TTC Holding,Czech Republic,Real Estate,unclassified,yes,,,,suspended,,2022-12-24,no,suspended activities
Tadano,Japan,Industrials,unclassified,yes,,,,other,,2022-12-24,no,suspension of shipments into Russia
Take-Two Interactive,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,"halt sales, marketing and more in Russia"
Talgo,Spain,Industrials,unclassified,yes,,,,other,,2022-12-24,no,"Ended activity, service center still exists"
Tanin,Slovenia,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,goods are stopped
Tata Motors,India,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,Paused sales of Jaguar Land Rover in Russia
Tendam,Spain,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend activity in Russia
Thales,France,Industrials,unclassified,yes,strict normalized name match to Orbis parent,THALES,,suspended,,2023-08-23,no,Suspended business in Russia
The Navigator Company,Portugal,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all marketing in Russia
Thermo Fisher,United States,Health Care,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales and manufacturing in Russia
TikTok,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Timken,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
TomTom,Netherlands,Information Technology,unclassified,yes,,,,sold,,2024-02-25,no,"turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review"
Torm,Denmark,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,effectively suspend shipments to Russia
Tous,Spain,Consumer Discretionary,unclassified,yes,,,,other,,2022-12-24,no,close shops and online store in Russia
Triumph,Switzerland,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend Russian business
Twin Disc,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Twitter,United States,Communication Services,unclassified,yes,,,,suspended,,2022-12-24,no,suspend certain operations in Russia
UL,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,stop all work in Russia & Belarus and not take on or pursue any new customer orders
UPM,Finland,Materials,unclassified,yes,,,,suspended,,2022-12-24,no,temporarily suspend operations and sales in Russia
UPS,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Ubisoft,France,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend new sales to Russia
UiPath,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend sales in Russia
Under Armour,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend all shipments to Russia
Uniqlo/Fast Retailing,Japan,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
Universal Music Group,Netherlands,Consumer Discretionary,unclassified,yes,,,,sold,,2023-08-23,no,Suspended all operations in Russia and closed offices
Upwork,United States,Industrials,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
VF Corporation,United States,Consumer Discretionary,unclassified,yes,,,,suspended,,2022-12-24,no,temporarily suspend commercial activities
VMWare,United States,Information Technology,unclassified,yes,,,,suspended,,2022-12-24,no,suspend operations in Russia
