firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
ELA Container,Germany,Industrials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,ELA CONTAINER GMBH,100,sold,2023-08-23,2023-08-23,no,Sold Russian subsidary. Exiting market
ELKO Group,Latvia,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leave Russia
ENEOS,Japan,Energy,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue purchases of Russian crude
EPAM,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue servicing Russian customers
EY,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,leaving Russia completely
EarthDaily Analytics,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate operations in Russia
Eastnine,Sweden,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Edeka,Germany,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove Russian food from store shelves
Ejot,Germany,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Electronic Arts,United States,Communication Services,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,make new game purchases unavailable in Russia
Elisa Esports,Finland,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban Russian teams from participating in tournaments
Elopak,Norway,Materials,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Fully exit Russia after selling its operations
Emerson Electric,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,EMERSON ELECTRIC CO,,other,2022-12-24,2022-12-24,yes,exit Russian business
Endeavour Group,Australia,Consumer Staples,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Stop transacting with all Russian products
Enel,Italy,Utilities,unclassified,yes,strict normalized name match to Orbis parent,ENEL SPA,,sold,2022-12-24,2022-12-24,yes,divest from the entire Russian stakes
EnerSys,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,ENERSYS,,other,2023-08-23,2023-08-23,no,End Russian operations
Energizer,United States,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Eni,Italy,Energy,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,suspend stipulation of new oil contracts; divest from investments for rubles
Equinor,Norway,Energy,joint_venture,yes,Yale text explicitly mentions a joint venture,,,other,2022-12-24,2022-12-24,yes,exit joint ventures in Russia
Espersen,Denmark,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Essity,,,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Divested its operations in Russia
Etsy,United States,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,deactivate all listings from Russian sellers
Euroins,Bulgaria,Financials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Euronet Worldwide,United States,Financials,unclassified,yes,strict normalized name match to Orbis parent,EURONET WORLDWIDE INC,,other,2023-09-22,2023-09-22,no,Closed locations in Russia
Eurovision,United Kingdom,NGO,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,ban on all Russian competition
Eversheds Sutherland,United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,close Russia office; transfer Russia practice to local partners and counsels
Evonik,Germany,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia
Expedia,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Suspend bookings in Russia
Exxonmobil,United States,Energy,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,exit Rosneft partnership
