name,country,industry,grade_latest,action_type,first_grade_a_date,first_grade_ab_date,timing_left_censored,guo_matched,match_quality,n_subsidiaries,sum_assets_th_usd,largest_sub_assets,pre_inv_equity_th_usd,employees_total,emp_intensity,years_in_russia,ln_assets,nace_sector
Centrica,United Kingdom,Utilities,A,other,2022-12-24,2022-12-24,yes,ORICA LIMITED,88.88888888888889,1,249.47,249.47,241.450693110004,1,0.0040084493893275865,18,5.5194,77
Chanel,France,Consumer Discretionary,A,suspended,2023-08-23,2022-12-24,no,MS CHANELLE LATOYA STURGE-WOODS,100.0,1,6551.43,6551.43,-4067.22871466074,40,0.006105534440065305,17,8.7874,70
Chapman Freeborn,United Kingdom,Industrials,A,other,2022-12-24,2022-12-24,yes,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
Charles Schwab,United States,Financials,A,other,2023-08-23,2023-08-23,no,CHAS HOLDING AG,85.71428571428572,1,24818.58,24818.58,-18231.6944365948,174,0.007010875999794339,11,10.1193,28
Ciech,Poland,Materials,A,suspended,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Cisco,United States,Information Technology,A,sold,2022-12-24,2022-12-24,yes,CISCO SYSTEMS INC,100.0,1,225796.95,225796.95,36304.7593482537,21,9.300391185988296e-05,9,12.3274,46
Citi,United States,Financials,A,other,2024-02-25,2022-12-24,no,,,0,,,,,,,,
Clarivate,United Kingdom,Industrials,A,other,2022-12-24,2022-12-24,yes,CSL LIMITED,80.0,1,1613.89,1613.89,1605.39540174697,2,0.0012392427186288142,1,7.3864,46
Cleaves,Norway,Financials,A,suspended,2023-08-23,2023-08-23,no,CLEVER SPACE SA,83.33333333333334,1,35.49,35.49,-95.406539902091,26,0.7325019436961459,3,3.5694,46
Clifford Chance,United Kingdom,Industrials,A,sold,2022-12-24,2022-12-24,yes,CSL LIMITED,80.0,1,1613.89,1613.89,1605.39540174697,2,0.0012392427186288142,1,7.3864,46
Colliers,Canada,Real Estate,A,other,2022-12-24,2022-12-24,yes,DIERS INTERNATIONAL GMBH,88.88888888888889,1,220.39,220.39,-267.375212840736,5,0.022687534655163277,10,5.3954,46
Columbus,Denmark,Information Technology,A,sold,2023-08-23,2023-08-23,no,COLUMBUS MCKINNON CORP,100.0,1,1154.44,1154.44,671.318534294143,5,0.004331121947030165,12,7.0514,46
Comarch,Poland,Information Technology,A,other,2022-12-24,2022-12-24,yes,ARC HOLDINGS,100.0,1,991.24,991.24,537.200198573992,15,0.015132519686143295,17,6.8990,70
Commvault,United States,Information Technology,A,sold,2023-08-23,2023-08-23,no,LTD,80.0,1,,,,,,15,,16
Compass Group,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,COMPANY AUSDRILL LIMITED,83.33333333333334,1,48719.70,48719.70,45732.4680398852,3,6.157673779466822e-05,16,10.7938,23
Compass Mining,United States,Financials,A,other,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Coop,Switzerland,Financials,A,sold,2022-12-24,2022-12-24,yes,ULMA PACKAGING S COOP,100.0,1,7023.62,7023.62,4414.11386418343,45,0.006406952516909433,16,8.8570,46
Corteva,United States,Consumer Staples,A,other,2023-08-23,2023-08-23,no,"CORTEVA, INC",100,1,128928.21,128928.21,1174.36997556966,12,9.307505375437747e-05,12,11.7670,46
Coty,United States,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Covestro,Germany,Materials,A,suspended,2022-12-24,2022-12-24,yes,RDO INTERNATIONAL,80.0,1,89970.63,89970.63,28615.2318253182,746,0.008291594854877779,17,11.4072,46
Cummins,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,BNS INTERNATIONAL GROUP LTD,80.0,1,51949.88,51949.88,26055.0980100194,818,0.01574594470026376,14,10.8580,47
Currency.com,United Kingdom,Financials,A,other,2022-12-24,2022-12-24,yes,SYCOMP HOLDINGS INC.,80.0,1,612.59,612.59,-180.139069343917,,,6,6.4177,46
Cushman &amp; Wakefield,United States,Real Estate,A,other,2023-08-23,2023-08-23,no,DALEFIELD LIMITED,82.35294117647058,1,262.73,262.73,-63.6806349148974,,,11,5.5711,68
Cyfrowy Polsat,Poland,Communication Services,A,other,2022-12-24,2022-12-24,yes,OLAST HOLDINGS LIMITED,80.0,1,1497.38,1497.38,1485.50459321029,,,3,7.3115,47
DDB,United States,Materials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
DLA Piper,United States,Industrials,A,sold,2022-12-24,2022-12-24,yes,MR BINDSCHEDLER PIERRE-ETIENNE,77.77777777777779,1,3.18,3.18,-12.4238482406363,,,2,1.1558,23
DMG Mori,Japan,Industrials,A,sold,2023-08-23,2022-12-24,no,"DMG MORI CO., LTD.",100.0,1,83198.55,83198.55,45335.8201959468,5,6.0097198076793246e-05,17,11.3290,46
DP Eurasia,Netherlands,Consumer Staples,A,other,2023-09-22,2023-09-22,no,SUN GROUP (EURASIA) LIMITED,90.0,1,59.82,59.82,-102.728937998414,2,0.03343501394320322,20,4.0913,64
DPD,Germany,Industrials,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
DWS,Germany,Financials,A,other,2023-08-23,2023-08-23,no,,,0,,,,,,,,
DXC Technology,United States,Information Technology,A,other,2022-12-24,2022-12-24,yes,DXC TECHNOLOGY COMPANY,100.0,2,8128.09,7008.63,2712.80043149088,147,0.018405892051977076,2,9.0031,62
