Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,9/26/2018,Oil & gas project/Gazprom Neft PAO,Shell PLC,Gazprom Neft PJSC,N/A,Cash, ,Withdrawn
AST,7/1/2019,WINGAS biomethane business,E.ON SE,Gazprom PJSC,N/A,Cash, ,Completed
AST,7/5/2019,75 fuel stations & terminal,Tatneft PJSC,Neste Oyj,N/A,Cash, ,Completed
AST,7/5/2019,Certain real estate assets/MegaFon PJSC,Potential Buyer,MegaFon PJSC,N/A,Cash, ,Withdrawn
AST,7/15/2019,IP & call centers/Vezet group,Nebius Group NV,RuTaxi-Saturn,N/A,Cash and Stock, ,Pending
AST,7/17/2019,OTC & Prescription drugs/Russia,STADA Arzneimittel AG,Takeda Pharmaceutical Co Ltd,N/A,Cash, ,Withdrawn
AST,6/3/2019,Frozen vegetables plant/Belgorod,Bonduelle SCA,Shock LLC,N/A,Cash, ,Completed
AST,6/13/2019,Beef production and farming business/Inalca SpA,Russian Direct Investment Fund Management Co,Cremonini SpA,N/A,Cash, ,Pending
AST,11/28/2019,Sevan-Hrazdan Cascade,Assotsiatsiya Torgovo-Stroitel'no-Promyshlennaya Gruppa Kompaniy Tashir,RusHydro PJSC,N/A,Cash, ,Completed
AST,10/9/2019,Akkuyu plant/Turkey,TEAS Turkiye Elektrick Uretim-Iletim AS,Russian Direct Investment Fund Management Co,N/A,Cash, ,Withdrawn
AST,10/15/2019,Atacama Lithium Project,Wealth Minerals Ltd,Rosatom Corp,N/A,Cash, ,Pending
AST,10/28/2019,"Southside regional medical center/Petersburg,Southampton memorial hospital/Franklin,Southern Virginia Regional Medical Center/Emporia",Mercy Health Network,Community Health Systems Inc,N/A,Cash, ,Completed
AST,9/11/2019,Voronzeh airport,Novaport OOO,Aksioma Group OOO,N/A,Cash, ,Completed
AST,9/24/2019,Non-Performing Credit Portfolio/Russia,EOS Holding GmbH,UniCredit SpA,N/A,Cash, ,Completed
AST,8/22/2019,Far East Russian business,Inzhenerno-Stroitelnaya Kompaniya LLC,Modern Machinery Co Inc,N/A,Cash, ,Completed
